"Institute","Institute_standardized"
"Ghent University, Faculty of Science, Marine Biology Research Group","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Ghent University, Faculty of Sciences, Department of Biology, Research Group Marine Biology","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Ghent University, Marine Biology","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Ghent University, Marine Biology Lab","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Ghent University, Marine Biology research group","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Ghent University, Marine Biology Section, Department of Biology","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Marine Biological Laboratory, Biology Department, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Marine Biology Department, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Marine Biology Research Group","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Marine Biology Research Group - Gent university","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Marine Biology Research Group, Biology Department, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Marine Biology Research Group, Department of Biology, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Marine Biology Research Group, Faculty of Sciences, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Marine Biology Research group, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Marine Biology Section – Ghent University","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Marine Biology Section, Biology Department, Faculty of Science, University of Ghent","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Marine Biology Section, Biology Department, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Marine Biology Section, Department of Biology, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Marine Biology section, Faculty of Science, Biology Department, University of Ghent","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Marine Biology Section, Gent University","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Marine Biology Section, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Marine Biology, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Research Group Marine Biology, Biology Department, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Research group Marine Biology, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Section Marine Biology, Department Biology, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Univ Ghent, Dept Biol, Marine Biol Res Grp, B-9000 Ghent, Belgium;","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Univ Ghent, Dept Biol, Marine Biol Res Grp, Ghent, Belgium;","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Univ Ghent, Marine Biol Res Grp, B-9000 Ghent, Belgium;","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Univ Ghent, Marine Biol Res Grp, Krijgslaan 281 S8, B-9000 Ghent, Belgium;","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Univ Ghent, Marine Biol Res Grp, Krijgslaan 281, B-9000 Ghent, Belgium;","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Universiteit Gent, Onderzoeksgroep Mariene Biologie (UGent-MARBIOL)","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Phycology Research Group and Centre for Molecular Phylogenetics and Evolution, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Research Group Phycology"
"Phycology Research Group, Biology Department, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Research Group Phycology"
"Phycology Research Group, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Research Group Phycology"
"Research Group Phycology, Biology Department, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Research Group Phycology"
"Univ Ghent, Dept Biol, Phycol Res Grp, B-9000 Ghent, Belgium;","Ghent University - Faculty of Sciences - Biology Department - Research Group Phycology"
"Department of Biology, Terrestrial Ecology Unit, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Terrestrial Ecology Unit (TEREC) "
"Ghent Univ., Dept of Biology, Terrestrial Ecology Unit","Ghent University - Faculty of Sciences - Biology Department - Terrestrial Ecology Unit (TEREC) "
"Terrestrial Ecological Unit (TEREC), Ghent University","Ghent University - Faculty of Sciences - Biology Department - Terrestrial Ecology Unit (TEREC) "
"Terrestrial Ecology Unit (TEREC), Biologie, Universiteit Gent","Ghent University - Faculty of Sciences - Biology Department - Terrestrial Ecology Unit (TEREC) "
"Terrestrial Ecology Unit (TEREC), Ghent University","Ghent University - Faculty of Sciences - Biology Department - Terrestrial Ecology Unit (TEREC) "
"Terrestrial Ecology Unit, Department of Biology, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Terrestrial Ecology Unit (TEREC) "
"Terrestrial Ecology Unit, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Terrestrial Ecology Unit (TEREC) "
"Univ Ghent, Terr Ecol Unit TEREC, KL Ledeganckstr 35, B-9000 Ghent, Belgium.","Ghent University - Faculty of Sciences - Biology Department - Terrestrial Ecology Unit (TEREC) "
"Laboratory of Microbiology, Department of Biochemistry and Microbiology, Ghent University","Ghent University - Faculty of Sciences - Department of Biochemistry and Microbiology - Laboratory of Microbiology"
"Ugent Faculty of Verterinary Medicine Department of Virology","Ghent University - Faculty of Verterinary Medicine - Department of Virology"
"PERSUADE project - Universiteit Gent","Ghent University - PERSUADE project"
"Pfizer Analytical Research Centre, Ghent University","Ghent University - Pfizer Analytical Research Center"
"Ghent University, Renard Centre of Marine Geology, Geology &amp; Soil Science","Ghent University - Renard Centre of Marine Geology"
"WAVES Research Group; Ghent University (UGent-WAVES)","Ghent University - WAVES research group"
"Ghent University - Zoology Museum","Ghent University - Zoology museum"
"GIMIX","Gimix B.V."
"Girne Amer Univ, Marine Sch, TRNC Via, Girne, Turkey.","Girne American University"
"Global Fishing Watch","Global Fishing Watch"
"Gloucester Marine Genom Inst Inc, Gloucester, MA 01930 USA.","Gloucester Marine Genomics Institute"
"Goa Univ","Goa University"
"Govt India","Goa University"
"Biologicum, Institute for Ecology, Diversity and Evolution, Goethe University Frankfurt","Goethe University Frankfurt"
"Goethe Univ Frankfurt","Goethe University Frankfurt"
"Goethe Univ Frankfurt, FB Biol Sci Inst Ecol Divers & Evolut Biol 15, Frankfurt, Germany.","Goethe University Frankfurt"
"Goethe Univ Frankfurt, Inst Ecol Divers & Evolut, D-60439 Frankfurt, Germany.","Goethe University Frankfurt"
"Goethe Univ Frankfurt, Inst Ecol Evolut & Div, FB 15,Max von Laue Str 13, D-60439 Frankfurt, Germany.","Goethe University Frankfurt"
"Goethe Univ Frankfurt, Inst Geosci, Palaeoenvironm Dynam Grp, D-60438 Frankfurt, Germany.","Goethe University Frankfurt"
"Goethe Univ Frankfurt, Inst Geosci, Palaeoenvironm Dynam Grp, D-60438 Frankfurt, Germany;","Goethe University Frankfurt"
"Natl Renewable Energy Lab, 15013 Denver West Pkwy, Golden, CO 80401 USA.","Golden Laboratories and Offices - National Renewable Energy Laboratory (NREL)"
"Gothenburg Global Biodivers Ctr, Box 461, SE-40530 Gothenburg, Sweden.","Gothenburg Global Biodiversity Centre"
"Fisheries & Oceans Canada","Government of Canada - Fisheries and Oceans Canada"
"Fisheries & Oceans Canada, Freshwater Inst, Winnipeg, MB R3T 2N6, Canada.","Government of Canada - Fisheries and Oceans Canada"
"Fisheries &amp; Oceans Canada, Gulf Fisheries Ctr, Moncton, NB, Canada.","Government of Canada - Fisheries and Oceans Canada"
"Fisheries and Oceans Canada","Government of Canada - Fisheries and Oceans Canada"
"Government of Canada - Fisheries and Oceans Canada","Government of Canada - Fisheries and Oceans Canada"
"Bedford Inst Oceanog","Government of Canada - Fisheries and Oceans Canada - Bedford Institute of Oceanography"
"Bedford Inst Oceanog, Dept Fisheries &amp; Oceans Canada, Ocean &amp; Ecosyst Sci Div, Dartmouth, NS B2Y 4A2, Canada.","Government of Canada - Fisheries and Oceans Canada - Bedford Institute of Oceanography"
"Bedford Institute of Oceanography ","Government of Canada - Fisheries and Oceans Canada - Bedford Institute of Oceanography"
"Fisheries &amp; Oceans Canada, Bedford Inst Oceanog, Dept Fisheries &amp; Oceans, Oceans &amp; Ecosyst Sci Div, Dartmouth, NS B2Y 4A2, Canada.","Government of Canada - Fisheries and Oceans Canada - Bedford Institute of Oceanography"
"Fisheries & Oceans Canada, Biol Stn, 531 Brandy Cove Rd, St Andrews, NB, Canada.","Government of Canada - Fisheries and Oceans Canada - Biology Station"
"Fisheries & Oceans Canada, Biol Stn, St Andrews, NB E5B 2S9, Canada;","Government of Canada - Fisheries and Oceans Canada - Biology Station"
"Fisheries & Oceans Canada, Pacific Biol Stn, 3190 Hammond Bay Rd, Nanaimo, BC V9T 6N7, Canada.","Government of Canada - Fisheries and Oceans Canada - Biology Station"
"Fisheries & Oceans Canada, Great Lakes Lab Fisheries & Aquat Sci, Burlington, ON, Canada;","Government of Canada - Fisheries and Oceans Canada - Great Lakes Lab Fisheries & Aquatic Science"
"Maurice Lamontagne Institute, Fisheries and Oceans","Government of Canada - Fisheries and Oceans Canada - Maurice Lamontagne Institute"
"NSW Off Environm &amp; Heritage, 10 Valentine Ave, Parramatta, NSW 2150, Australia.","Government of New South Wales - Office of Environment and Heritage"
"Government of Jersey","Government of Jersey"
"Governors State Univ","Governors State University"
"Governors State Univ, Div Sci Math & Technol, 1 Univ Pkwy, University Pk, PA 60484 USA;","Governors State University"
"Grantham Inst, Climate Change & Environm, London SW7 2AZ, England.","Grantham Research Institute on Climate Change and the Environment"
"Grauwe Kiekendief - Kenniscentrum Akkervogels","Grauwe Kiekendief - Kenniscentrum Akkervogels"
"Montagu´s Harrier Foundation","Grauwe Kiekendief - Kenniscentrum Akkervogels"
"Hellenic Ministry of Rural Development & Food","Greece government - Hellenic Ministry of Rural Development & Food"
"Ministry of Foreign Affairs - Hellinic Republic","Greece government - Hellinic Ministry of Foreign Affairs"
"Greenland Inst Nat Resources","Greenland Institute of Natural Resources (GINR)"
"Greenland Inst Nat Resources, Greenland Climate Res Ctr, Nuuk 3900, Greenland.","Greenland Institute of Natural Resources (GINR)"
"Greenland Inst Nat Resources, Greenland Climate Res Ctr, Nuuk 3900, Greenland;","Greenland Institute of Natural Resources (GINR) - Climate Research Centre"
"Greenpeace","Greenpeace"
"Griffith Univ","Griffith University"
"Griffith Univ, Australian Rivers Inst, 170 Kessels Rd, Nathan, Qld 4111, Australia.","Griffith University"
"Griffith Univ, Environm Futures Res Inst, Parklands Dr, Gold Coast, Qld 4222, Australia;","Griffith University - Environmental Futures Research Institute (EFRI)"
"Griffith Univ, Griffith Sch Environm, Environm Futures Res Inst, Gold Coast Campus, Southport, Qld 4222, Australia.","Griffith University - Environmental Futures Research Institute (EFRI)"
"Griffith Univ, Griffith Inst Drug Discovery, Brisbane, Qld 4111, Australia.","Griffith University - Griffith Institute for Drug Discovery"
"Muzeul National de Istorie Naturala Grigore Antipa","Grigore Antipa National Museum of Natural History"
"Gwangju Inst Sci & Technol","Gwangju Institute of Science and Technology"
"Gwangju Inst Sci & Technol, Sch Environm Sci & Engn, Gwangju 500712, South Korea;","Gwangju Institute of Science and Technology -  School of Environmental Science & Engineering"
"Gwangju Inst Sci & Technol, Sch Environm Sci & Engn, Gwangju 61005, South Korea;","Gwangju Institute of Science and Technology -  School of Environmental Science & Engineering"
"Hafok","Hafok AB"
"Technische Universität Hamburg","Hamburg University of Technology "
"Hampden-Sydney College","Hampden-Sydney College"
"Harokopio University","Harokopio University"
"Hanyang Univ","Hanyang University"
"Hanyang Univ, Coll Nat Sci, Dept Life Sci, Seoul 133791, South Korea.","Hanyang University - College Of Natural Sciences - Department Of Life Science"
"Hanyang Univ, Dept Life Sci, Seoul, South Korea;","Hanyang University - Department of Life Science"
"Hanyang Univ, Dept Marine Sci & Convergent Engn, Ansan 15588, South Korea;","Hanyang University - Department of Marine Science and Convergent Engineering"
"*Liu, Y.: College of Life Science and Technology, Harbin Normal University, Harbin, 150025, China","Harbin Normal University - College of Life Science and Technology"
"Harpoon 3 Professional (H3MilSim)","Harpoon 3 Professional (H3MilSim)"
"Harvard Univ","Harvard University"
"Harvard Univ, Dept Organism & Evolutionary Biol, Cambridge, MA 02138 USA.","Harvard University"
"Harvard Univ, Harvard Forest, Petersham, MA 01366 USA.","Harvard University"
"Harvard Univ, John A Paulson Sch Engn & Appl Sci, Cambridge, MA 02138 USA.","Harvard University"
"Harvard Univ, Museum Comparat Zool, Cambridge, MA 02138 USA.","Harvard University"
"Harvard Univ, Museum Comparat Zool, Dept Organism & Evolutionary Biol, Cambridge, MA 02138 USA.","Harvard University"
"Harvard Univ, Peabody Museum Archaeol & Ethnol, Cambridge, MA 02138 USA.","Harvard University"
"Harvard Univ, Dept Organism &amp; Evolutionary Biol, Cambridge, MA 02138 USA.","Harvard University - Department of Organismic and Evolutionary Biology"
